Gene_name,Ciliary Gene,Ciliary TF interactions
NME9,Unknown,YES
NMNAT2,Unknown,YES
NOC2L,Unknown,YES
NOP10,Unknown,YES
NOS1AP,Unknown,YES
NOTCH2,Unknown,YES
NOTUM,Unknown,YES
NOVA1,Unknown,YES
NOXRED1,Unknown,YES
NPHP1,YES,YES
NPHP4,YES,YES
NPNT,Unknown,YES
NRG1,Unknown,YES
NRG4,Unknown,YES
NRP1,Unknown,YES
NSUN7,Unknown,YES
NT5C2,Unknown,YES
NT5DC1,Unknown,YES
NUBPL,Unknown,YES
NUP62CL,Unknown,YES
NUP210,Unknown,YES
ODAD1,YES,YES
ODAD2,YES,YES
ODAD3,YES,YES
ODAD4,YES,YES
ODF2,YES,YES
ODF2L,Unknown,YES
ODF3B,Unknown,YES
OGDHL,Unknown,YES
OMA1,Unknown,YES
OPN4,Unknown,YES
OSBP2,Unknown,YES
OSBPL3,Unknown,YES
OSBPL9,Unknown,YES
OSCP1,Unknown,YES
OTUD3,Unknown,YES
PABPC1,Unknown,YES
PACRG,YES,YES
PALD1,Unknown,YES
PAM,Unknown,YES
PAQR3,Unknown,YES
PAQR5,Unknown,YES
PARD3B,Unknown,YES
PARG,Unknown,YES
PARM1,Unknown,YES
PARP6,Unknown,YES
PAWR,Unknown,YES
PAX8,Unknown,YES
PBX4,Unknown,YES
PCDHB16,Unknown,YES
PCDHGA5,Unknown,YES
PCLO,Unknown,YES
PCM1,YES,YES
PCNX2,Unknown,YES
PCNX4,Unknown,YES
PCSK2,Unknown,YES
PCSK6,Unknown,YES
PDCL2,Unknown,YES
PDE3A,Unknown,YES
PDE3B,Unknown,YES
PDE4B,Unknown,YES
PDE4D,Unknown,YES
PDE7A,Unknown,YES
PDE8A,Unknown,YES
PDE9A,Unknown,YES
PDLIM2,Unknown,YES
PDSS2,Unknown,YES
PDXK,Unknown,YES
PEAK1,Unknown,YES
PELI1,Unknown,YES
PEX3,Unknown,YES
PEX7,Unknown,YES
PFKFB2,Unknown,YES
PFKFB3,Unknown,YES
PGM1,Unknown,YES
PHACTR1,Unknown,YES
PHF21A,Unknown,YES
PHKB,Unknown,YES
PHLDB2,Unknown,YES
PHLPP1,Unknown,YES
PHTF1,Unknown,YES
